59,,"2018-08-14 09:54:14",3,,,,,,,,,,,,,,,1,1,,,,4,1,3,3,3,1,5,2,2,4,2,3,3,5,5,3,5,1,3,1,5,1,3,1,2,2,5,5,2,1,4,1,5,2,1,2,5,2,1,2,4,5,4,1,5,2,5,4,2,3,39,48,36,36,33,2
60,,"2018-08-14 19:51:24",1,3,1,1,0,0,10,2,0,3.86,,22,5,8,,2,2,,,,2,1,4,5,4,2,5,2,2,1,4,1,5,5,5,4,5,2,2,2,4,1,1,2,4,4,5,1,2,1,4,1,4,5,5,4,4,2,4,4,4,5,4,2,5,4,5,5,4,4,30,49,40,23,45,2
61,,"2018-08-16 09:46:06",1,3,2,1,1,0,6,2,0,3.5,,22,5,1,,1,2,,,,1,1,3,1,3,4,3,2,4,1,3,2,2,2,2,4,3,2,4,1,2,3,4,2,4,2,4,3,1,2,2,3,3,1,3,4,3,2,1,2,2,2,3,1,2,4,3,2,1,3,22,33,32,46,33,2
62,,"2018-08-22 14:30:40",1,1,2,1,0,0,16,1,1,3.3,,18,1,,,2,3,,,,3,1,4,4,2,2,4,1,2,1,4,1,5,5,2,2,5,1,1,4,4,1,3,3,1,2,4,1,3,4,4,1,5,4,2,4,4,2,3,1,1,5,3,3,5,3,4,5,3,1,33,46,44,23,23,2
63,,"2018-08-24 15:18:16",1,3,2,1,0,0,12,1,0,3.4,3.8,22,5,4,,1,3,,,,4,1,4,3,3,1,5,4,4,3,4,2,3,3,5,3,4,3,2,3,4,1,3,4,3,1,5,4,1,1,4,1,4,2,3,4,4,2,1,2,4,5,5,2,3,4,3,5,2,2,37,45,35,36,32,2
64,,"2018-08-27 22:13:02",1,4,3,1,0,0,15,3,0,3.4,3.65,21,5,4,,2,2,,,,3,1,5,3,5,1,5,1,3,2,4,1,5,5,5,2,5,3,4,3,4,2,2,2,5,2,4,3,2,1,4,1,4,2,5,4,5,1,3,4,2,5,2,3,4,3,4,5,1,4,35,47,39,34,44,2
65,,"2018-08-29 13:51:08",1,4,3,1,0,0,15,8,0,3.65,3.85,19,1,,,1,2,,,,4,2,4,4,4,2,4,2,2,2,4,3,4,4,4,2,4,3,3,2,4,2,4,3,4,3,2,2,3,2,4,2,4,3,4,3,3,2,3,4,4,4,4,3,4,3,4,4,3,4,37,36,39,27,40,2
66,,"2018-09-05 23:22:52",1,1,3,1,0,0,15,4,0,3.91,,24,5,9,,2,3,,,,2,1,2,4,4,5,5,1,1,2,4,3,4,4,2,3,5,1,4,4,4,3,2,2,4,2,4,1,1,1,1,1,5,1,5,3,4,1,1,1,3,5,5,2,4,4,3,4,2,3,27,42,42,36,34,2
67,,"[not completed]",2,,,,,,,,,,,,,,,1,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
68,,"2018-09-18 12:45:46",2,,,,,,,,,,,,,,,1,5,2,3,4,3,1,4,1,4,2,5,3,4,2,5,1,4,2,3,2,5,1,4,4,2,1,5,2,4,2,2,2,2,4,4,1,5,3,4,3,5,2,2,2,2,4,4,2,3,3,4,4,2,3,34,45,42,40,31,2
